id,section_name,section_id,section_item_name,section_item_code
1,Epidemic-Prone Diseases,1.3.1,Malaria,EP01
2,Epidemic-Prone Diseases,1.3.1,"Suspected Malaria (fever)",EP01a
3,Epidemic-Prone Diseases,1.3.1,"Malaria Tested (B/s & RDT)",EP01b
4,Epidemic-Prone Diseases,1.3.1,"Malaria confirmed (B/s & RDT)",EP01c
5,Epidemic-Prone Diseases,1.3.1,"Confirmed Malaria cases treated",EP01d
6,Epidemic-Prone Diseases,1.3.1,"Total malaria cases treated",EP01e
7,Epidemic-Prone Diseases,1.3.1,Acute Flaccid Paralysis,EP02
8,Epidemic-Prone Diseases,1.3.1,"Animal Bites (suspected rabies)",EP03
9,Epidemic-Prone Diseases,1.3.1,Cholera,EP04
10,Epidemic-Prone Diseases,1.3.1,Dysentery,EP05
11,Epidemic-Prone Diseases,1.3.1,Guinea Worm,EP06
12,Epidemic-Prone Diseases,1.3.1,Measles,EP07
13,Epidemic-Prone Diseases,1.3.1,Bacterial Meningitis,EP08
14,Epidemic-Prone Diseases,1.3.1,Neonatal tetanus,EP09
15,Epidemic-Prone Diseases,1.3.1,Plague,EP10
16,Epidemic-Prone Diseases,1.3.1,Yellow Fever,EP11
17,Epidemic-Prone Diseases,1.3.1,"Other Viral Haemorrhagic Fevers",EP12
18,Epidemic-Prone Diseases,1.3.1,"Severe Acute Respiratory Infection (SARI)",EP13
19,Epidemic-Prone Diseases,1.3.1,"Adverse Events Following Immunization (AEFI)",EP14
20,Epidemic-Prone Diseases,1.3.1,Typhoid Fever,EP15
21,Epidemic-Prone Diseases,1.3.1,"Rifampicin resistant TB cases",EP16
22,Epidemic-Prone Diseases,1.3.1,"Other Emerging Infectious Diseases (e.g., Influenza-like illness (ILI), SARS)",EP17
23,Epidemic-Prone Diseases,1.3.1,"COVID-19",EP18
24,Other Infectious/Communicable Diseases,1.3.2,"Diarrhoea - Acute",CD01
25,Other Infectious/Communicable Diseases,1.3.2,"Diarrhoea - Persistent",CD02
26,Other Infectious/Communicable Diseases,1.3.2,"Urethral discharges",CD03
27,Other Infectious/Communicable Diseases,1.3.2,"Genital ulcers",CD04
28,Other Infectious/Communicable Diseases,1.3.2,"Sexually Transmitted Infection due to Sexual Gender Based Violence",CD05
29,Other Infectious/Communicable Diseases,1.3.2,"Other Sexually Transmitted Infections",CD06
30,Other Infectious/Communicable Diseases,1.3.2,"Urinary Tract Infections (UTI)",CD07
31,Other Infectious/Communicable Diseases,1.3.2,"Intestinal Worms",CD08
